 ,X,GFP,FM4,i,Fac_0,Fac_1
4270,0.000,0.892,1.000,79,pinc16,9
4271,0.164,0.933,0.802,79,pinc16,9
4272,0.327,0.921,0.556,79,pinc16,9
4273,0.491,0.865,0.411,79,pinc16,9
4274,0.655,0.767,0.329,79,pinc16,9
4275,0.818,0.703,0.262,79,pinc16,9
4276,0.982,0.699,0.202,79,pinc16,9
4277,1.146,0.731,0.171,79,pinc16,9
4278,1.309,0.816,0.157,79,pinc16,9
4279,1.473,0.955,0.151,79,pinc16,9
4280,1.637,1.042,0.146,79,pinc16,9
4281,1.800,1.003,0.137,79,pinc16,9
4282,1.964,0.848,0.125,79,pinc16,9
4283,2.128,0.664,0.115,79,pinc16,9
4284,2.291,0.523,0.108,79,pinc16,9
4285,2.455,0.413,0.099,79,pinc16,9
4286,2.619,0.322,0.083,79,pinc16,9
4287,2.782,0.264,0.061,79,pinc16,9
4288,2.946,0.238,0.042,79,pinc16,9
4289,3.109,0.221,0.030,79,pinc16,9
4290,3.273,0.196,0.025,79,pinc16,9
4291,3.437,0.181,0.021,79,pinc16,9
4292,3.600,0.179,0.016,79,pinc16,9
4293,3.764,0.172,0.013,79,pinc16,9
4294,3.928,0.167,0.010,79,pinc16,9
4295,4.091,0.163,0.009,79,pinc16,9
4296,4.255,0.156,0.008,79,pinc16,9
4297,4.419,0.140,0.008,79,pinc16,9
4298,4.582,0.125,0.008,79,pinc16,9
4299,4.746,0.127,0.008,79,pinc16,9
4300,4.910,0.129,0.007,79,pinc16,9
4301,5.073,0.132,0.007,79,pinc16,9
4302,-3.019,0.035,0.013,80,pina7,20
4303,-2.903,0.036,0.014,80,pina7,20
4304,-2.787,0.036,0.015,80,pina7,20
4305,-2.671,0.035,0.016,80,pina7,20
4306,-2.554,0.033,0.018,80,pina7,20
4307,-2.438,0.030,0.021,80,pina7,20
4308,-2.322,0.030,0.025,80,pina7,20
4309,-2.206,0.031,0.029,80,pina7,20
4310,-2.090,0.033,0.032,80,pina7,20
4311,-1.974,0.037,0.033,80,pina7,20
4312,-1.858,0.044,0.037,80,pina7,20
4313,-1.742,0.048,0.042,80,pina7,20
4314,-1.626,0.055,0.044,80,pina7,20
4315,-1.509,0.070,0.046,80,pina7,20
4316,-1.393,0.076,0.051,80,pina7,20
4317,-1.277,0.076,0.062,80,pina7,20
4318,-1.161,0.087,0.072,80,pina7,20
4319,-1.045,0.097,0.080,80,pina7,20
4320,-0.929,0.108,0.096,80,pina7,20
4321,-0.813,0.145,0.130,80,pina7,20
4322,-0.697,0.209,0.193,80,pina7,20
4323,-0.581,0.283,0.277,80,pina7,20
4324,-0.464,0.393,0.384,80,pina7,20
4325,-0.348,0.541,0.516,80,pina7,20
4326,-0.232,0.700,0.690,80,pina7,20
4327,-0.116,0.867,0.887,80,pina7,20
4328,0.000,1.003,1.000,80,pina7,20
4329,0.116,1.041,0.926,80,pina7,20
4330,0.232,1.003,0.736,80,pina7,20
4331,0.348,0.964,0.585,80,pina7,20
4332,0.464,0.990,0.523,80,pina7,20
4333,0.581,1.000,0.489,80,pina7,20
4334,0.697,0.886,0.423,80,pina7,20
4335,0.813,0.740,0.331,80,pina7,20
4336,0.929,0.638,0.245,80,pina7,20
4337,1.045,0.593,0.181,80,pina7,20
4338,1.161,0.578,0.141,80,pina7,20
4339,1.277,0.555,0.126,80,pina7,20
4340,1.393,0.521,0.123,80,pina7,20
4341,1.509,0.497,0.123,80,pina7,20
4342,1.626,0.488,0.119,80,pina7,20
4343,1.742,0.480,0.103,80,pina7,20
4344,1.858,0.448,0.082,80,pina7,20
4345,1.974,0.415,0.065,80,pina7,20
4346,2.090,0.396,0.051,80,pina7,20
4347,2.206,0.373,0.042,80,pina7,20
4348,2.322,0.347,0.040,80,pina7,20
4349,2.438,0.331,0.036,80,pina7,20
4350,2.554,0.311,0.032,80,pina7,20
4351,2.671,0.285,0.029,80,pina7,20
4352,2.787,0.265,0.028,80,pina7,20
4353,2.903,0.242,0.025,80,pina7,20
4354,3.019,0.225,0.022,80,pina7,20
4355,3.135,0.230,0.020,80,pina7,20
4356,3.251,0.252,0.019,80,pina7,20
4357,3.367,0.261,0.019,80,pina7,20
4358,3.483,0.247,0.018,80,pina7,20
4359,3.600,0.236,0.015,80,pina7,20
4360,3.716,0.254,0.010,80,pina7,20
4361,3.832,0.268,0.008,80,pina7,20
4362,3.948,0.260,0.009,80,pina7,20
4363,4.064,0.248,0.009,80,pina7,20
4364,4.180,0.230,0.010,80,pina7,20
4365,4.296,0.209,0.010,80,pina7,20
4366,4.412,0.205,0.010,80,pina7,20
4367,4.528,0.220,0.010,80,pina7,20
4368,-2.787,0.014,0.011,81,pina7,20
4369,-2.671,0.015,0.009,81,pina7,20
4370,-2.555,0.019,0.009,81,pina7,20
4371,-2.439,0.023,0.011,81,pina7,20
4372,-2.322,0.024,0.014,81,pina7,20
4373,-2.206,0.022,0.018,81,pina7,20
4374,-2.090,0.026,0.019,81,pina7,20
4375,-1.974,0.031,0.019,81,pina7,20
4376,-1.858,0.030,0.019,81,pina7,20
4377,-1.742,0.029,0.020,81,pina7,20
4378,-1.626,0.029,0.021,81,pina7,20
4379,-1.510,0.031,0.023,81,pina7,20
4380,-1.393,0.036,0.024,81,pina7,20
4381,-1.277,0.044,0.028,81,pina7,20
4382,-1.161,0.057,0.035,81,pina7,20
4383,-1.045,0.064,0.044,81,pina7,20
4384,-0.929,0.070,0.056,81,pina7,20
4385,-0.813,0.093,0.078,81,pina7,20
4386,-0.697,0.145,0.120,81,pina7,20
4387,-0.581,0.229,0.196,81,pina7,20
4388,-0.464,0.352,0.323,81,pina7,20
4389,-0.348,0.525,0.519,81,pina7,20
4390,-0.232,0.745,0.776,81,pina7,20
4391,-0.116,0.963,0.993,81,pina7,20
4392,0.000,1.037,1.000,81,pina7,20
4393,0.116,0.887,0.758,81,pina7,20
4394,0.232,0.657,0.453,81,pina7,20
4395,0.348,0.510,0.280,81,pina7,20
4396,0.464,0.423,0.215,81,pina7,20
4397,0.581,0.339,0.180,81,pina7,20
4398,0.697,0.264,0.152,81,pina7,20
4399,0.813,0.223,0.127,81,pina7,20
4400,0.929,0.203,0.103,81,pina7,20
4401,1.045,0.182,0.079,81,pina7,20
4402,1.161,0.166,0.059,81,pina7,20
4403,1.277,0.162,0.043,81,pina7,20
4404,1.393,0.165,0.032,81,pina7,20
4405,1.510,0.166,0.029,81,pina7,20
4406,1.626,0.159,0.028,81,pina7,20
4407,1.742,0.147,0.027,81,pina7,20
4408,1.858,0.139,0.023,81,pina7,20
4409,1.974,0.134,0.019,81,pina7,20
4410,2.090,0.134,0.015,81,pina7,20
4411,2.206,0.135,0.011,81,pina7,20
4412,2.322,0.131,0.010,81,pina7,20
4413,2.439,0.128,0.009,81,pina7,20
4414,2.555,0.127,0.008,81,pina7,20
4415,2.671,0.125,0.008,81,pina7,20
4416,2.787,0.121,0.007,81,pina7,20
4417,2.903,0.118,0.007,81,pina7,20
4418,3.019,0.115,0.007,81,pina7,20
4419,3.135,0.114,0.007,81,pina7,20
4420,3.251,0.113,0.007,81,pina7,20
4421,-3.158,0.010,0.006,82,pina7,20
4422,-3.041,0.009,0.005,82,pina7,20
4423,-2.924,0.011,0.005,82,pina7,20
4424,-2.807,0.016,0.007,82,pina7,20
4425,-2.690,0.020,0.008,82,pina7,20
4426,-2.573,0.019,0.009,82,pina7,20
4427,-2.456,0.019,0.010,82,pina7,20
4428,-2.339,0.019,0.010,82,pina7,20
4429,-2.222,0.021,0.009,82,pina7,20
4430,-2.105,0.025,0.011,82,pina7,20
4431,-1.988,0.027,0.013,82,pina7,20
4432,-1.871,0.025,0.015,82,pina7,20
4433,-1.754,0.023,0.017,82,pina7,20
4434,-1.637,0.025,0.020,82,pina7,20
4435,-1.520,0.028,0.023,82,pina7,20
4436,-1.403,0.033,0.028,82,pina7,20
4437,-1.287,0.039,0.032,82,pina7,20
4438,-1.170,0.043,0.035,82,pina7,20
4439,-1.053,0.049,0.040,82,pina7,20
4440,-0.936,0.062,0.050,82,pina7,20
4441,-0.819,0.082,0.066,82,pina7,20
4442,-0.702,0.112,0.092,82,pina7,20
4443,-0.585,0.166,0.139,82,pina7,20
4444,-0.468,0.246,0.228,82,pina7,20
4445,-0.351,0.360,0.372,82,pina7,20
4446,-0.234,0.519,0.580,82,pina7,20
4447,-0.117,0.744,0.834,82,pina7,20
4448,0.000,0.974,1.000,82,pina7,20
4449,0.117,1.026,0.909,82,pina7,20
4450,0.234,0.849,0.620,82,pina7,20
4451,0.351,0.628,0.356,82,pina7,20
4452,0.468,0.488,0.221,82,pina7,20
4453,0.585,0.431,0.169,82,pina7,20
4454,0.702,0.429,0.143,82,pina7,20
4455,0.819,0.454,0.124,82,pina7,20
4456,0.936,0.462,0.111,82,pina7,20
4457,1.053,0.436,0.101,82,pina7,20
4458,1.170,0.397,0.094,82,pina7,20
4459,1.287,0.369,0.088,82,pina7,20
4460,1.403,0.339,0.087,82,pina7,20
4461,1.520,0.291,0.087,82,pina7,20
4462,1.637,0.235,0.080,82,pina7,20
4463,1.754,0.188,0.064,82,pina7,20
4464,1.871,0.159,0.047,82,pina7,20
4465,1.988,0.143,0.033,82,pina7,20
4466,2.105,0.135,0.024,82,pina7,20
4467,2.222,0.129,0.020,82,pina7,20
4468,2.339,0.124,0.018,82,pina7,20
4469,2.456,0.121,0.015,82,pina7,20
4470,2.573,0.124,0.011,82,pina7,20
4471,2.690,0.124,0.009,82,pina7,20
4472,2.807,0.115,0.008,82,pina7,20
4473,2.924,0.107,0.007,82,pina7,20
4474,3.041,0.109,0.006,82,pina7,20
4475,3.158,0.107,0.005,82,pina7,20
4476,3.275,0.095,0.005,82,pina7,20
4477,3.392,0.090,0.005,82,pina7,20
4478,3.509,0.096,0.005,82,pina7,20
4479,3.626,0.101,0.004,82,pina7,20
4480,3.743,0.094,0.004,82,pina7,20
4481,3.860,0.080,0.004,82,pina7,20
4482,3.977,0.075,0.004,82,pina7,20
4483,4.093,0.087,0.004,82,pina7,20
4484,4.210,0.102,0.005,82,pina7,20
4485,4.327,0.109,0.005,82,pina7,20
4486,4.444,0.106,0.004,82,pina7,20
4487,4.561,0.101,0.003,82,pina7,20
4488,4.678,0.102,0.003,82,pina7,20
4489,4.795,0.104,0.003,82,pina7,20
4490,4.912,0.102,0.004,82,pina7,20
4491,5.029,0.101,0.004,82,pina7,20
4492,5.146,0.102,0.004,82,pina7,20
4493,5.263,0.107,0.004,82,pina7,20
4494,5.380,0.111,0.003,82,pina7,20
4495,5.497,0.113,0.003,82,pina7,20
4496,5.614,0.111,0.003,82,pina7,20
4497,-3.014,0.012,0.006,83,pina7,20
4498,-2.898,0.012,0.006,83,pina7,20
4499,-2.782,0.012,0.006,83,pina7,20
4500,-2.666,0.011,0.007,83,pina7,20
4501,-2.550,0.012,0.008,83,pina7,20
4502,-2.434,0.015,0.008,83,pina7,20
4503,-2.318,0.017,0.009,83,pina7,20
4504,-2.202,0.017,0.011,83,pina7,20
4505,-2.086,0.018,0.013,83,pina7,20
4506,-1.971,0.020,0.013,83,pina7,20
4507,-1.855,0.024,0.013,83,pina7,20
4508,-1.739,0.027,0.014,83,pina7,20
4509,-1.623,0.031,0.017,83,pina7,20
4510,-1.507,0.035,0.020,83,pina7,20
4511,-1.391,0.036,0.025,83,pina7,20
4512,-1.275,0.037,0.031,83,pina7,20
4513,-1.159,0.043,0.039,83,pina7,20
4514,-1.043,0.058,0.048,83,pina7,20
4515,-0.927,0.079,0.061,83,pina7,20
4516,-0.811,0.102,0.080,83,pina7,20
4517,-0.695,0.128,0.111,83,pina7,20
4518,-0.580,0.172,0.163,83,pina7,20
4519,-0.464,0.256,0.250,83,pina7,20
4520,-0.348,0.401,0.402,83,pina7,20
4521,-0.232,0.613,0.627,83,pina7,20
4522,-0.116,0.868,0.874,83,pina7,20
4523,0.000,1.027,1.000,83,pina7,20
4524,0.116,0.973,0.880,83,pina7,20
4525,0.232,0.762,0.597,83,pina7,20
4526,0.348,0.548,0.347,83,pina7,20
4527,0.464,0.408,0.209,83,pina7,20
4528,0.580,0.320,0.145,83,pina7,20
4529,0.695,0.258,0.112,83,pina7,20
4530,0.811,0.221,0.089,83,pina7,20
4531,0.927,0.193,0.069,83,pina7,20
4532,1.043,0.167,0.050,83,pina7,20
4533,1.159,0.144,0.036,83,pina7,20
4534,1.275,0.128,0.029,83,pina7,20
4535,1.391,0.121,0.025,83,pina7,20
4536,1.507,0.123,0.022,83,pina7,20
4537,1.623,0.122,0.019,83,pina7,20
4538,1.739,0.112,0.017,83,pina7,20
4539,1.855,0.106,0.016,83,pina7,20
4540,1.971,0.105,0.015,83,pina7,20
4541,2.086,0.105,0.014,83,pina7,20
4542,2.202,0.105,0.011,83,pina7,20
4543,2.318,0.102,0.009,83,pina7,20
4544,2.434,0.098,0.008,83,pina7,20
4545,2.550,0.096,0.007,83,pina7,20
4546,2.666,0.095,0.007,83,pina7,20
4547,2.782,0.093,0.008,83,pina7,20
4548,2.898,0.093,0.009,83,pina7,20
4549,3.014,0.093,0.009,83,pina7,20
4550,3.130,0.089,0.007,83,pina7,20
4551,3.246,0.089,0.004,83,pina7,20
4552,3.362,0.095,0.004,83,pina7,20
4553,3.477,0.100,0.004,83,pina7,20
4554,3.593,0.102,0.005,83,pina7,20
4555,3.709,0.098,0.006,83,pina7,20
4556,3.825,0.090,0.005,83,pina7,20
4557,3.941,0.085,0.004,83,pina7,20
4558,4.057,0.088,0.004,83,pina7,20
4559,4.173,0.093,0.003,83,pina7,20
4560,4.289,0.094,0.003,83,pina7,20
4561,4.405,0.095,0.002,83,pina7,20
4562,-3.037,0.014,0.007,84,pina7,20
4563,-2.920,0.013,0.007,84,pina7,20
4564,-2.803,0.013,0.010,84,pina7,20
4565,-2.686,0.014,0.011,84,pina7,20
4566,-2.570,0.018,0.012,84,pina7,20
4567,-2.453,0.023,0.014,84,pina7,20
4568,-2.336,0.025,0.015,84,pina7,20
4569,-2.219,0.024,0.015,84,pina7,20
4570,-2.102,0.026,0.015,84,pina7,20
4571,-1.986,0.030,0.017,84,pina7,20
4572,-1.869,0.032,0.021,84,pina7,20
4573,-1.752,0.034,0.025,84,pina7,20
4574,-1.635,0.038,0.027,84,pina7,20
4575,-1.518,0.050,0.030,84,pina7,20
4576,-1.402,0.062,0.033,84,pina7,20
4577,-1.285,0.069,0.038,84,pina7,20
4578,-1.168,0.077,0.046,84,pina7,20
4579,-1.051,0.089,0.056,84,pina7,20
4580,-0.934,0.098,0.067,84,pina7,20
4581,-0.818,0.107,0.086,84,pina7,20
4582,-0.701,0.124,0.114,84,pina7,20
4583,-0.584,0.155,0.153,84,pina7,20
4584,-0.467,0.210,0.230,84,pina7,20
4585,-0.350,0.308,0.370,84,pina7,20
4586,-0.234,0.475,0.572,84,pina7,20
4587,-0.117,0.717,0.813,84,pina7,20
4588,0.000,0.955,1.000,84,pina7,20
4589,0.117,1.045,1.000,84,pina7,20
4590,0.234,0.939,0.805,84,pina7,20
4591,0.350,0.732,0.543,84,pina7,20
4592,0.467,0.549,0.336,84,pina7,20
4593,0.584,0.434,0.220,84,pina7,20
4594,0.701,0.362,0.158,84,pina7,20
4595,0.818,0.313,0.116,84,pina7,20
4596,0.934,0.268,0.089,84,pina7,20
4597,1.051,0.241,0.075,84,pina7,20
4598,1.168,0.235,0.064,84,pina7,20
4599,1.285,0.220,0.052,84,pina7,20
4600,1.402,0.197,0.043,84,pina7,20
4601,1.518,0.174,0.036,84,pina7,20
4602,1.635,0.154,0.030,84,pina7,20
4603,1.752,0.144,0.024,84,pina7,20
4604,1.869,0.136,0.018,84,pina7,20
4605,1.986,0.129,0.015,84,pina7,20
4606,2.102,0.127,0.014,84,pina7,20
4607,2.219,0.124,0.012,84,pina7,20
4608,2.336,0.113,0.010,84,pina7,20
4609,2.453,0.106,0.009,84,pina7,20
4610,2.570,0.109,0.009,84,pina7,20
4611,2.686,0.111,0.009,84,pina7,20
4612,2.803,0.109,0.009,84,pina7,20
4613,2.920,0.108,0.009,84,pina7,20
4614,3.037,0.110,0.010,84,pina7,20
4615,3.154,0.111,0.010,84,pina7,20
4616,3.270,0.108,0.009,84,pina7,20
4617,3.387,0.101,0.009,84,pina7,20
4618,3.504,0.089,0.009,84,pina7,20
4619,3.621,0.083,0.009,84,pina7,20
4620,3.738,0.088,0.009,84,pina7,20
4621,3.854,0.101,0.009,84,pina7,20
4622,-3.114,0.016,0.030,85,pina7,20
4623,-2.998,0.015,0.032,85,pina7,20
4624,-2.883,0.015,0.035,85,pina7,20
4625,-2.768,0.015,0.034,85,pina7,20
4626,-2.652,0.016,0.032,85,pina7,20
4627,-2.537,0.017,0.030,85,pina7,20
4628,-2.422,0.020,0.028,85,pina7,20
4629,-2.306,0.025,0.027,85,pina7,20
4630,-2.191,0.031,0.030,85,pina7,20
4631,-2.076,0.033,0.034,85,pina7,20
4632,-1.960,0.035,0.037,85,pina7,20
4633,-1.845,0.039,0.039,85,pina7,20
4634,-1.730,0.045,0.043,85,pina7,20
4635,-1.614,0.049,0.048,85,pina7,20
4636,-1.499,0.051,0.053,85,pina7,20
4637,-1.384,0.056,0.064,85,pina7,20
4638,-1.269,0.069,0.077,85,pina7,20
4639,-1.153,0.076,0.090,85,pina7,20
4640,-1.038,0.080,0.105,85,pina7,20
4641,-0.923,0.101,0.133,85,pina7,20
4642,-0.807,0.135,0.175,85,pina7,20
4643,-0.692,0.166,0.222,85,pina7,20
4644,-0.577,0.201,0.284,85,pina7,20
4645,-0.461,0.267,0.387,85,pina7,20
4646,-0.346,0.372,0.545,85,pina7,20
4647,-0.231,0.480,0.744,85,pina7,20
4648,-0.115,0.555,0.923,85,pina7,20
4649,0.000,0.605,1.000,85,pina7,20
4650,0.115,0.669,0.963,85,pina7,20
4651,0.231,0.805,0.885,85,pina7,20
4652,0.346,0.976,0.826,85,pina7,20
4653,0.461,1.024,0.736,85,pina7,20
4654,0.577,0.891,0.578,85,pina7,20
4655,0.692,0.710,0.420,85,pina7,20
4656,0.807,0.596,0.310,85,pina7,20
4657,0.923,0.544,0.239,85,pina7,20
4658,1.038,0.505,0.189,85,pina7,20
4659,1.153,0.436,0.152,85,pina7,20
4660,1.269,0.350,0.124,85,pina7,20
4661,1.384,0.280,0.103,85,pina7,20
4662,1.499,0.235,0.086,85,pina7,20
4663,1.614,0.206,0.071,85,pina7,20
4664,1.730,0.189,0.054,85,pina7,20
4665,1.845,0.174,0.038,85,pina7,20
4666,1.960,0.158,0.030,85,pina7,20
4667,2.076,0.150,0.027,85,pina7,20
4668,2.191,0.151,0.026,85,pina7,20
4669,2.306,0.153,0.024,85,pina7,20
4670,2.422,0.151,0.021,85,pina7,20
4671,2.537,0.149,0.019,85,pina7,20
4672,2.652,0.149,0.018,85,pina7,20
4673,2.768,0.152,0.017,85,pina7,20
4674,2.883,0.151,0.016,85,pina7,20
4675,2.998,0.147,0.015,85,pina7,20
4676,3.114,0.145,0.014,85,pina7,20
4677,3.229,0.141,0.013,85,pina7,20
4678,3.344,0.138,0.013,85,pina7,20
4679,3.460,0.129,0.012,85,pina7,20
4680,3.575,0.120,0.011,85,pina7,20
4681,3.690,0.121,0.011,85,pina7,20
4682,3.806,0.121,0.011,85,pina7,20
4683,-2.878,0.009,0.005,86,pina7,20
4684,-2.763,0.010,0.006,86,pina7,20
4685,-2.648,0.012,0.006,86,pina7,20
4686,-2.533,0.014,0.006,86,pina7,20
4687,-2.418,0.017,0.008,86,pina7,20
4688,-2.303,0.018,0.012,86,pina7,20
4689,-2.188,0.018,0.015,86,pina7,20
4690,-2.072,0.019,0.016,86,pina7,20
4691,-1.957,0.022,0.016,86,pina7,20
4692,-1.842,0.027,0.018,86,pina7,20
4693,-1.727,0.033,0.021,86,pina7,20
4694,-1.612,0.037,0.024,86,pina7,20
4695,-1.497,0.037,0.029,86,pina7,20
4696,-1.382,0.041,0.033,86,pina7,20
4697,-1.267,0.051,0.038,86,pina7,20
4698,-1.151,0.061,0.044,86,pina7,20
4699,-1.036,0.072,0.050,86,pina7,20
4700,-0.921,0.088,0.060,86,pina7,20
4701,-0.806,0.114,0.082,86,pina7,20
4702,-0.691,0.161,0.126,86,pina7,20
4703,-0.576,0.238,0.203,86,pina7,20
4704,-0.461,0.358,0.324,86,pina7,20
4705,-0.345,0.534,0.499,86,pina7,20
4706,-0.230,0.752,0.717,86,pina7,20
4707,-0.115,0.953,0.921,86,pina7,20
4708,0.000,1.047,1.000,86,pina7,20
4709,0.115,0.940,0.860,86,pina7,20
4710,0.230,0.735,0.601,86,pina7,20
4711,0.345,0.573,0.398,86,pina7,20
4712,0.461,0.479,0.297,86,pina7,20
4713,0.576,0.411,0.226,86,pina7,20
4714,0.691,0.341,0.165,86,pina7,20
4715,0.806,0.290,0.124,86,pina7,20
4716,0.921,0.259,0.098,86,pina7,20
4717,1.036,0.227,0.077,86,pina7,20
4718,1.151,0.197,0.059,86,pina7,20
4719,1.267,0.181,0.047,86,pina7,20
4720,1.382,0.160,0.039,86,pina7,20
4721,1.497,0.137,0.033,86,pina7,20
4722,1.612,0.131,0.028,86,pina7,20
4723,1.727,0.141,0.024,86,pina7,20
4724,1.842,0.147,0.021,86,pina7,20
4725,1.957,0.143,0.017,86,pina7,20
4726,2.072,0.141,0.013,86,pina7,20
4727,2.188,0.141,0.011,86,pina7,20
4728,2.303,0.136,0.011,86,pina7,20
4729,2.418,0.128,0.010,86,pina7,20
4730,2.533,0.134,0.009,86,pina7,20
4731,2.648,0.141,0.009,86,pina7,20
4732,2.763,0.131,0.008,86,pina7,20
4733,2.878,0.115,0.007,86,pina7,20
4734,2.994,0.110,0.007,86,pina7,20
4735,3.109,0.109,0.008,86,pina7,20
4736,3.224,0.108,0.009,86,pina7,20
4737,3.339,0.107,0.010,86,pina7,20
4738,-2.653,0.023,0.019,87,pina7,20
4739,-2.538,0.025,0.020,87,pina7,20
4740,-2.423,0.028,0.021,87,pina7,20
4741,-2.307,0.029,0.022,87,pina7,20
4742,-2.192,0.027,0.022,87,pina7,20
4743,-2.077,0.025,0.023,87,pina7,20
4744,-1.961,0.029,0.026,87,pina7,20
4745,-1.846,0.036,0.029,87,pina7,20
4746,-1.730,0.042,0.031,87,pina7,20
4747,-1.615,0.046,0.033,87,pina7,20
4748,-1.500,0.049,0.037,87,pina7,20
4749,-1.384,0.053,0.044,87,pina7,20
4750,-1.269,0.063,0.052,87,pina7,20
4751,-1.154,0.081,0.061,87,pina7,20
4752,-1.038,0.101,0.074,87,pina7,20
4753,-0.923,0.119,0.091,87,pina7,20
4754,-0.808,0.142,0.114,87,pina7,20
4755,-0.692,0.173,0.147,87,pina7,20
4756,-0.577,0.219,0.193,87,pina7,20
4757,-0.461,0.291,0.262,87,pina7,20
4758,-0.346,0.407,0.378,87,pina7,20
4759,-0.231,0.583,0.562,87,pina7,20
4760,-0.115,0.802,0.806,87,pina7,20
4761,0.000,0.991,1.000,87,pina7,20
4762,0.115,1.009,0.968,87,pina7,20
4763,0.231,0.806,0.716,87,pina7,20
4764,0.346,0.542,0.444,87,pina7,20
4765,0.461,0.363,0.277,87,pina7,20
4766,0.577,0.272,0.188,87,pina7,20
4767,0.692,0.229,0.132,87,pina7,20
4768,0.808,0.213,0.098,87,pina7,20
4769,0.923,0.204,0.076,87,pina7,20
4770,1.038,0.188,0.059,87,pina7,20
4771,1.154,0.160,0.047,87,pina7,20
4772,1.269,0.134,0.039,87,pina7,20
4773,1.384,0.123,0.034,87,pina7,20
4774,1.500,0.123,0.031,87,pina7,20
4775,1.615,0.126,0.026,87,pina7,20
4776,1.730,0.126,0.022,87,pina7,20
4777,1.846,0.121,0.019,87,pina7,20
4778,1.961,0.116,0.018,87,pina7,20
4779,2.077,0.116,0.018,87,pina7,20
4780,2.192,0.117,0.018,87,pina7,20
4781,2.307,0.114,0.017,87,pina7,20
4782,2.423,0.108,0.015,87,pina7,20
4783,2.538,0.105,0.014,87,pina7,20
4784,2.653,0.107,0.013,87,pina7,20
4785,2.769,0.104,0.012,87,pina7,20
4786,2.884,0.098,0.013,87,pina7,20
4787,3.000,0.096,0.014,87,pina7,20
4788,3.115,0.097,0.015,87,pina7,20
4789,3.230,0.098,0.014,87,pina7,20
4790,3.346,0.098,0.014,87,pina7,20
4791,3.461,0.097,0.015,87,pina7,20
4792,3.576,0.104,0.017,87,pina7,20
4793,3.692,0.114,0.016,87,pina7,20
4794,3.807,0.113,0.015,87,pina7,20
4795,3.922,0.108,0.013,87,pina7,20
4796,-2.570,0.030,0.025,88,pina7,20
4797,-2.453,0.036,0.026,88,pina7,20
4798,-2.337,0.039,0.026,88,pina7,20
4799,-2.220,0.035,0.028,88,pina7,20
4800,-2.103,0.029,0.030,88,pina7,20
4801,-1.986,0.033,0.033,88,pina7,20
4802,-1.869,0.046,0.036,88,pina7,20
4803,-1.752,0.054,0.039,88,pina7,20
4804,-1.636,0.052,0.043,88,pina7,20
4805,-1.519,0.048,0.047,88,pina7,20
4806,-1.402,0.049,0.051,88,pina7,20
4807,-1.285,0.060,0.057,88,pina7,20
4808,-1.168,0.083,0.067,88,pina7,20
4809,-1.051,0.111,0.081,88,pina7,20
4810,-0.935,0.141,0.100,88,pina7,20
4811,-0.818,0.187,0.132,88,pina7,20
4812,-0.701,0.251,0.183,88,pina7,20
4813,-0.584,0.322,0.257,88,pina7,20
4814,-0.467,0.421,0.360,88,pina7,20
4815,-0.350,0.585,0.503,88,pina7,20
4816,-0.234,0.784,0.710,88,pina7,20
4817,-0.117,0.964,0.933,88,pina7,20
4818,0.000,1.036,1.000,88,pina7,20
4819,0.117,0.919,0.826,88,pina7,20
4820,0.234,0.710,0.574,88,pina7,20
4821,0.350,0.560,0.399,88,pina7,20
4822,0.467,0.481,0.289,88,pina7,20
4823,0.584,0.414,0.205,88,pina7,20
4824,0.701,0.336,0.148,88,pina7,20
4825,0.818,0.263,0.115,88,pina7,20
4826,0.935,0.219,0.099,88,pina7,20
4827,1.051,0.194,0.089,88,pina7,20
4828,1.168,0.175,0.078,88,pina7,20
4829,1.285,0.163,0.064,88,pina7,20
4830,1.402,0.156,0.050,88,pina7,20
4831,1.519,0.154,0.039,88,pina7,20
4832,1.636,0.155,0.033,88,pina7,20
4833,1.752,0.158,0.028,88,pina7,20
4834,1.869,0.151,0.026,88,pina7,20
4835,1.986,0.129,0.024,88,pina7,20
4836,2.103,0.116,0.021,88,pina7,20
4837,2.220,0.119,0.018,88,pina7,20
4838,2.337,0.123,0.015,88,pina7,20
4839,2.453,0.124,0.013,88,pina7,20
4840,2.570,0.123,0.012,88,pina7,20
4841,2.687,0.128,0.012,88,pina7,20
4842,2.804,0.134,0.011,88,pina7,20
4843,2.921,0.134,0.009,88,pina7,20
4844,3.038,0.127,0.008,88,pina7,20
4845,3.154,0.122,0.008,88,pina7,20
4846,3.271,0.121,0.008,88,pina7,20
4847,3.388,0.121,0.008,88,pina7,20
4848,3.505,0.123,0.007,88,pina7,20
4849,3.622,0.121,0.006,88,pina7,20
4850,3.738,0.116,0.006,88,pina7,20
4851,3.855,0.119,0.007,88,pina7,20
4852,3.972,0.126,0.006,88,pina7,20
4853,4.089,0.124,0.006,88,pina7,20
4854,4.206,0.117,0.005,88,pina7,20
4855,-3.460,0.016,0.012,89,pina7,20
4856,-3.344,0.017,0.012,89,pina7,20
4857,-3.229,0.019,0.012,89,pina7,20
4858,-3.114,0.023,0.013,89,pina7,20
4859,-2.999,0.027,0.015,89,pina7,20
4860,-2.883,0.027,0.018,89,pina7,20
4861,-2.768,0.022,0.020,89,pina7,20
4862,-2.653,0.020,0.021,89,pina7,20
4863,-2.537,0.022,0.022,89,pina7,20
4864,-2.422,0.026,0.024,89,pina7,20
